,index,Unnamed: 0,Date,ESI,station,SMS-2.0in_mean,SMS-2.0in_count,how
954,954,954,2/12/14,2.8896449,2057:AL:SCAN,33.48571429,7,both
956,956,956,2/12/14,0.24632752,2177:AL:SCAN,53.34285714,7,both
958,958,958,2/12/14,2.656453,2174:AL:SCAN,52.58571429,7,both
963,963,963,2/12/14,-0.31788346,2178:AL:SCAN,24.32857143,7,both
964,964,964,2/12/14,-0.11372527,2181:AL:SCAN,27.77142857,7,both
969,969,969,2/12/14,-0.24370562,2115:AL:SCAN,14.42857143,7,both
970,970,970,2/12/14,2.050805,2175:AL:SCAN,17.64285714,7,both
972,972,972,4/30/14,-0.41667864,2057:AL:SCAN,37.38571429,7,both
974,974,974,4/30/14,-0.24647547,2177:AL:SCAN,47.97142857,7,both
975,975,975,4/30/14,0.26990458,2113:AL:SCAN,34.81428571,7,both
976,976,976,4/30/14,0.06830856,2174:AL:SCAN,57.6,7,both
978,978,978,4/30/14,0.18638495,2173:AL:SCAN,27.01428571,7,both
980,980,980,4/30/14,-1.9235067,2114:AL:SCAN,38.82857143,7,both
982,982,982,4/30/14,0.65317774,2181:AL:SCAN,20.75714286,7,both
986,986,986,4/30/14,0.16101956,2179:AL:SCAN,23.61428571,7,both
987,987,987,4/30/14,-0.68424433,2115:AL:SCAN,11.07142857,7,both
989,989,989,4/30/14,-1.4689524,2053:AL:SCAN,37.65714286,7,both
990,990,990,1/8/14,-0.46404344,2057:AL:SCAN,33.85714286,7,both
992,992,992,1/8/14,-0.2595223,2177:AL:SCAN,51.9,7,both
993,993,993,1/8/14,0.20009248,2113:AL:SCAN,33.52857143,7,both
994,994,994,1/8/14,1.3163586,2174:AL:SCAN,53.24285714,7,both
996,996,996,1/8/14,-1.2745292,2173:AL:SCAN,23.55714286,7,both
998,998,998,1/8/14,1.3218486,2114:AL:SCAN,40.4,7,both
1000,1000,1000,1/8/14,1.0021236,2181:AL:SCAN,26.58571429,7,both
1004,1004,1004,1/8/14,0.19706003,2179:AL:SCAN,26.7,7,both
1005,1005,1005,1/8/14,0.93041176,2115:AL:SCAN,25.84285714,7,both
1006,1006,1006,1/8/14,-1.0460465,2175:AL:SCAN,20.4,7,both
1007,1007,1007,1/8/14,0.06016818,2053:AL:SCAN,34.82857143,7,both
1008,1008,1008,11/19/14,0.28214633,2057:AL:SCAN,31.32857143,7,both
1010,1010,1010,11/19/14,0.7738824,2177:AL:SCAN,31.94285714,7,both
1011,1011,1011,11/19/14,1.0728891,2113:AL:SCAN,32.44285714,7,both
1012,1012,1012,11/19/14,0.6675533,2174:AL:SCAN,44.22857143,7,both
1013,1013,1013,11/19/14,1.8716749,2055:AL:SCAN,27.01428571,7,both
1014,1014,1014,11/19/14,0.55215305,2173:AL:SCAN,31.41428571,7,both
1015,1015,1015,11/19/14,0.3431376,2180:AL:SCAN,9.714285714,7,both
1016,1016,1016,11/19/14,0.395624,2114:AL:SCAN,21.61428571,7,both
1018,1018,1018,11/19/14,0.23414867,2181:AL:SCAN,24.07142857,7,both
1019,1019,1019,11/19/14,0.3380999,2182:AL:SCAN,6.257142857,7,both
1021,1021,1021,11/19/14,1.0910479,2056:AL:SCAN,32.27142857,7,both
1023,1023,1023,11/19/14,1.2816025,2115:AL:SCAN,5.671428571,7,both
1024,1024,1024,11/19/14,1.266652,2175:AL:SCAN,16.77142857,7,both
1025,1025,1025,11/19/14,0.6359837,2053:AL:SCAN,30.97142857,7,both
1026,1026,1026,10/1/14,-0.10589509,2057:AL:SCAN,14.12857143,7,both
1028,1028,1028,10/1/14,-2.6589959,2177:AL:SCAN,35.04285714,7,both
1029,1029,1029,10/1/14,0.5838508,2113:AL:SCAN,8.157142857,7,both
1030,1030,1030,10/1/14,-1.241971,2174:AL:SCAN,35.35714286,7,both
1032,1032,1032,10/1/14,0.28265935,2173:AL:SCAN,10.67142857,7,both
1033,1033,1033,10/1/14,-1.4545008,2180:AL:SCAN,11.81428571,7,both
1034,1034,1034,10/1/14,-2.312867,2114:AL:SCAN,20.94285714,7,both
1036,1036,1036,10/1/14,-2.1659634,2181:AL:SCAN,10.18571429,7,both
1037,1037,1037,10/1/14,0.8004097,2182:AL:SCAN,10.47142857,7,both
1039,1039,1039,10/1/14,0.684808,2056:AL:SCAN,14.2,7,both
1040,1040,1040,10/1/14,-0.04947323,2179:AL:SCAN,7.942857143,7,both
1041,1041,1041,10/1/14,-1.9338742,2115:AL:SCAN,6.285714286,7,both
1044,1044,1044,11/5/14,-0.40166944,2057:AL:SCAN,30.15714286,7,both
1046,1046,1046,11/5/14,-0.64352036,2177:AL:SCAN,33.5,7,both
1047,1047,1047,11/5/14,1.2809314,2113:AL:SCAN,31.08571429,7,both
1048,1048,1048,11/5/14,0.26868916,2174:AL:SCAN,38.3,7,both
1049,1049,1049,11/5/14,1.425441,2055:AL:SCAN,23.78571429,7,both
1050,1050,1050,11/5/14,0.29853785,2173:AL:SCAN,30.44285714,7,both
1051,1051,1051,11/5/14,-0.8938519,2180:AL:SCAN,9.457142857,7,both
1052,1052,1052,11/5/14,-0.18085106,2114:AL:SCAN,19.4,7,both
1054,1054,1054,11/5/14,-0.5086824,2181:AL:SCAN,10.38571429,7,both
1055,1055,1055,11/5/14,-0.44281548,2182:AL:SCAN,7.914285714,7,both
1057,1057,1057,11/5/14,0.50764394,2056:AL:SCAN,28.02857143,7,both
1058,1058,1058,11/5/14,1.1586504,2179:AL:SCAN,20.84285714,7,both
1059,1059,1059,11/5/14,-0.2900514,2115:AL:SCAN,5.1,7,both
1060,1060,1060,11/5/14,0.29075646,2175:AL:SCAN,12.6,7,both
1061,1061,1061,11/5/14,-0.15135504,2053:AL:SCAN,29.22857143,7,both
1062,1062,1062,1/22/14,-0.34551066,2057:AL:SCAN,32.58571429,7,both
1064,1064,1064,1/22/14,-0.77445513,2177:AL:SCAN,49.45714286,7,both
1065,1065,1065,1/22/14,-0.35931435,2113:AL:SCAN,33.71428571,7,both
1066,1066,1066,1/22/14,-0.26294872,2174:AL:SCAN,50.08571429,7,both
1068,1068,1068,1/22/14,-0.108744025,2173:AL:SCAN,27.17142857,7,both
1070,1070,1070,1/22/14,-0.9750778,2114:AL:SCAN,40.08571429,7,both
1071,1071,1071,1/22/14,-0.42424992,2178:AL:SCAN,21.97142857,7,both
1072,1072,1072,1/22/14,-1.0383056,2181:AL:SCAN,24.91428571,7,both
1076,1076,1076,1/22/14,-0.003091746,2179:AL:SCAN,25.44285714,7,both
1077,1077,1077,1/22/14,0.060658462,2115:AL:SCAN,19.14285714,7,both
