,Date,ESI,station
0,2/5/13,-0.5991286,2057:AL:SCAN
1,2/5/13,-0.09204087,2078:AL:SCAN
2,2/5/13,-0.8651331,2177:AL:SCAN
3,2/5/13,-1.3521935,2113:AL:SCAN
4,2/5/13,-0.4167685,2174:AL:SCAN
5,2/5/13,-0.6058114,2055:AL:SCAN
6,2/5/13,-0.8176775,2173:AL:SCAN
7,2/5/13,-1.0536748,2180:AL:SCAN
8,2/5/13,-1.2027388,2114:AL:SCAN
9,2/5/13,-0.8243436,2178:AL:SCAN
10,2/5/13,-0.60905904,2181:AL:SCAN
11,2/5/13,-1.119264,2182:AL:SCAN
12,2/5/13,-0.8970135,2176:AL:SCAN
13,2/5/13,-1.464343,2056:AL:SCAN
14,2/5/13,-0.9919496,2179:AL:SCAN
15,2/5/13,-0.96879905,2115:AL:SCAN
16,2/5/13,0.061429463,2175:AL:SCAN
17,2/5/13,0.28791222,2053:AL:SCAN
18,10/8/13,-0.10568825,2057:AL:SCAN
19,10/8/13,0.190897,2078:AL:SCAN
20,10/8/13,0.54870176,2177:AL:SCAN
21,10/8/13,2.4931245,2113:AL:SCAN
22,10/8/13,1.0420265,2174:AL:SCAN
23,10/8/13,1.848017,2055:AL:SCAN
24,10/8/13,-0.4122839,2173:AL:SCAN
25,10/8/13,0.2619268,2180:AL:SCAN
26,10/8/13,0.26060915,2114:AL:SCAN
27,10/8/13,-0.6197176,2178:AL:SCAN
28,10/8/13,1.3752648,2181:AL:SCAN
29,10/8/13,0.29099634,2182:AL:SCAN
30,10/8/13,0.5013273,2176:AL:SCAN
31,10/8/13,-0.57617754,2056:AL:SCAN
32,10/8/13,0.10091619,2179:AL:SCAN
33,10/8/13,-0.2946035,2115:AL:SCAN
34,10/8/13,0.8231877,2175:AL:SCAN
35,10/8/13,0.48646215,2053:AL:SCAN
36,6/4/13,-0.10587208,2057:AL:SCAN
37,6/4/13,0.13060081,2078:AL:SCAN
38,6/4/13,1.5628601,2177:AL:SCAN
39,6/4/13,-1.648836,2113:AL:SCAN
40,6/4/13,-2.5693405,2174:AL:SCAN
41,6/4/13,-0.6650149,2055:AL:SCAN
42,6/4/13,-0.68378544,2173:AL:SCAN
43,6/4/13,-9999,2180:AL:SCAN
44,6/4/13,-0.15332113,2114:AL:SCAN
45,6/4/13,0.95100623,2178:AL:SCAN
46,6/4/13,-2.2115135,2181:AL:SCAN
47,6/4/13,-1.796608,2182:AL:SCAN
48,6/4/13,-2.3659797,2176:AL:SCAN
49,6/4/13,-0.15869337,2056:AL:SCAN
50,6/4/13,-2.0534449,2179:AL:SCAN
51,6/4/13,-0.1388067,2115:AL:SCAN
52,6/4/13,-9999,2175:AL:SCAN
53,6/4/13,-9999,2053:AL:SCAN
54,3/12/13,1.1799179,2057:AL:SCAN
55,3/12/13,1.4656478,2078:AL:SCAN
56,3/12/13,0.27753347,2177:AL:SCAN
57,3/12/13,0.33818567,2113:AL:SCAN
58,3/12/13,1.4355555,2174:AL:SCAN
59,3/12/13,0.9516305,2055:AL:SCAN
60,3/12/13,0.66080946,2173:AL:SCAN
61,3/12/13,-0.2928417,2180:AL:SCAN
62,3/12/13,0.6444638,2114:AL:SCAN
63,3/12/13,0.8447766,2178:AL:SCAN
64,3/12/13,1.3938886,2181:AL:SCAN
65,3/12/13,0.48224983,2182:AL:SCAN
66,3/12/13,1.3520911,2176:AL:SCAN
67,3/12/13,0.7047794,2056:AL:SCAN
68,3/12/13,0.69417584,2179:AL:SCAN
69,3/12/13,1.0057019,2115:AL:SCAN
70,3/12/13,1.1092883,2175:AL:SCAN
71,3/12/13,1.7141609,2053:AL:SCAN
72,7/30/13,-0.63701093,2057:AL:SCAN
73,7/30/13,0.27919066,2078:AL:SCAN
74,7/30/13,0.09173902,2177:AL:SCAN
75,7/30/13,-0.37326163,2113:AL:SCAN
76,7/30/13,0.4768172,2174:AL:SCAN
77,7/30/13,-9999,2055:AL:SCAN
78,7/30/13,-9999,2173:AL:SCAN
79,7/30/13,-0.4410568,2180:AL:SCAN
80,7/30/13,0.7161398,2114:AL:SCAN
81,7/30/13,0.73026556,2178:AL:SCAN
82,7/30/13,-9999,2181:AL:SCAN
83,7/30/13,-0.72134084,2182:AL:SCAN
84,7/30/13,0.66272867,2176:AL:SCAN
85,7/30/13,-0.49032548,2056:AL:SCAN
86,7/30/13,0.17040524,2179:AL:SCAN
87,7/30/13,0.34643027,2115:AL:SCAN
88,7/30/13,-9999,2175:AL:SCAN
89,7/30/13,-9999,2053:AL:SCAN
90,9/17/13,-0.58309853,2057:AL:SCAN
91,9/17/13,-9999,2078:AL:SCAN
92,9/17/13,0.48281148,2177:AL:SCAN
93,9/17/13,-0.33227187,2113:AL:SCAN
94,9/17/13,1.1679512,2174:AL:SCAN
95,9/17/13,0.9378267,2055:AL:SCAN
96,9/17/13,-1.185238,2173:AL:SCAN
97,9/17/13,0.2382467,2180:AL:SCAN
98,9/17/13,-0.52843404,2114:AL:SCAN
99,9/17/13,-0.35188502,2178:AL:SCAN
100,9/17/13,-0.25416714,2181:AL:SCAN
101,9/17/13,0.11564242,2182:AL:SCAN
102,9/17/13,-0.8799986,2176:AL:SCAN
103,9/17/13,0.44086394,2056:AL:SCAN
104,9/17/13,-0.6796633,2179:AL:SCAN
105,9/17/13,-0.28761294,2115:AL:SCAN
106,9/17/13,1.4415325,2175:AL:SCAN
107,9/17/13,0.6028612,2053:AL:SCAN
108,7/9/13,1.6150987,2057:AL:SCAN
109,7/9/13,-9999,2078:AL:SCAN
110,7/9/13,-9999,2177:AL:SCAN
111,7/9/13,-9999,2113:AL:SCAN
112,7/9/13,-1.5743642,2174:AL:SCAN
