,ESI,Latitude,Longitude,Date,StationTriplet
0,0.213,34.78333,-86.55,2001-01-01,2057:AL:SCAN
1,0.566,34.89375,-86.60236,2001-01-01,2078:AL:SCAN
2,2.316,32.28393,-86.05253,2001-01-01,2177:AL:SCAN
4,0.121,33.10768,-88.31003,2001-01-01,2174:AL:SCAN
6,0.54,34.81982,-87.98685,2001-01-01,2173:AL:SCAN
7,0.102,30.5238,-87.69797,2001-01-01,2180:AL:SCAN
8,2.811,32.608,-88.19743,2001-01-01,2114:AL:SCAN
9,1.478,32.41222,-85.91028,2001-01-01,2178:AL:SCAN
10,1.732,31.10923,-87.55277,2001-01-01,2181:AL:SCAN
11,1.488,31.01912,-85.03693,2001-01-01,2182:AL:SCAN
12,1.752,32.40392,-86.89137,2001-01-01,2176:AL:SCAN
13,0.113,34.43333,-86.68333,2001-01-01,2056:AL:SCAN
14,0.59,34.17973,-87.45618,2001-01-01,2179:AL:SCAN
15,2.456,32.43455,-85.74802,2001-01-01,2115:AL:SCAN
16,2.805,33.33168,-85.51818,2001-01-01,2175:AL:SCAN
17,0.356,34.9,-86.53333,2001-01-01,2053:AL:SCAN
18,2.627,34.78333,-86.55,2001-01-08,2057:AL:SCAN
19,2.203,34.89375,-86.60236,2001-01-08,2078:AL:SCAN
20,1.359,32.28393,-86.05253,2001-01-08,2177:AL:SCAN
21,1.172,34.19492,-86.79897,2001-01-08,2113:AL:SCAN
22,2.364,33.10768,-88.31003,2001-01-08,2174:AL:SCAN
23,1.67,34.4448,-86.16557,2001-01-08,2055:AL:SCAN
24,2.252,34.81982,-87.98685,2001-01-08,2173:AL:SCAN
25,0.447,30.5238,-87.69797,2001-01-08,2180:AL:SCAN
26,1.992,32.608,-88.19743,2001-01-08,2114:AL:SCAN
27,1.615,32.41222,-85.91028,2001-01-08,2178:AL:SCAN
28,0.898,31.10923,-87.55277,2001-01-08,2181:AL:SCAN
29,0.272,31.01912,-85.03693,2001-01-08,2182:AL:SCAN
30,1.472,32.40392,-86.89137,2001-01-08,2176:AL:SCAN
31,1.771,34.43333,-86.68333,2001-01-08,2056:AL:SCAN
32,1.525,34.17973,-87.45618,2001-01-08,2179:AL:SCAN
33,2.591,32.43455,-85.74802,2001-01-08,2115:AL:SCAN
34,1.411,33.33168,-85.51818,2001-01-08,2175:AL:SCAN
35,3.328,34.9,-86.53333,2001-01-08,2053:AL:SCAN
