,Date,station,SMS-2.0in,SMS-2.0in
,,,mean,count
1,2002-02-20,2053:AL:SCAN,36.75714285714286,7
2,2002-02-27,2053:AL:SCAN,37.08571428571429,7
3,2002-03-06,2053:AL:SCAN,35.82857142857143,7
4,2002-03-13,2053:AL:SCAN,36.6,7
5,2002-03-20,2053:AL:SCAN,39.042857142857144,7
6,2002-03-27,2053:AL:SCAN,38.07142857142857,7
7,2002-04-03,2053:AL:SCAN,38.42857142857143,7
8,2002-04-10,2053:AL:SCAN,34.31428571428571,7
9,2002-04-17,2053:AL:SCAN,31.657142857142855,7
10,2002-04-24,2053:AL:SCAN,25.057142857142857,7
11,2002-05-01,2053:AL:SCAN,26.62857142857143,7
12,2002-05-08,2053:AL:SCAN,37.642857142857146,7
13,2002-05-15,2053:AL:SCAN,35.84285714285714,7
14,2002-05-22,2053:AL:SCAN,34.32857142857143,7
15,2002-05-29,2053:AL:SCAN,26.74285714285714,7
16,2002-06-05,2053:AL:SCAN,29.871428571428574,7
17,2002-06-12,2053:AL:SCAN,25.5,7
18,2002-06-19,2053:AL:SCAN,25.614285714285717,7
19,2002-06-26,2053:AL:SCAN,20.8,7
20,2002-07-03,2053:AL:SCAN,22.75714285714286,7
21,2002-07-10,2053:AL:SCAN,19.82857142857143,7
22,2002-07-17,2053:AL:SCAN,31.82857142857143,7
23,2002-07-24,2053:AL:SCAN,21.914285714285715,7
24,2002-07-31,2053:AL:SCAN,22.228571428571428,7
25,2002-08-07,2053:AL:SCAN,17.842857142857145,7
26,2002-08-14,2053:AL:SCAN,15.1,7
27,2002-08-21,2053:AL:SCAN,19.271428571428572,7
28,2002-08-28,2053:AL:SCAN,15.928571428571429,7
29,2002-09-04,2053:AL:SCAN,18.2,7
30,2002-09-11,2053:AL:SCAN,13.957142857142857,7
31,2002-09-18,2053:AL:SCAN,12.799999999999999,7
32,2002-09-25,2053:AL:SCAN,31.142857142857142,7
34,2002-10-09,2053:AL:SCAN,30.24285714285714,7
