Date,ESI,station
1/1/2001,0.2127883,2057:AL:SCAN
1/1/2001,0.56578356,2078:AL:SCAN
1/1/2001,2.3161886,2177:AL:SCAN
1/1/2001,-9999,2113:AL:SCAN
1/1/2001,0.12055167,2174:AL:SCAN
1/1/2001,-9999,2055:AL:SCAN
1/1/2001,0.5404401,2173:AL:SCAN
1/1/2001,0.10216087,2180:AL:SCAN
1/1/2001,2.8113563,2114:AL:SCAN
1/1/2001,1.4783502,2178:AL:SCAN
1/1/2001,1.7324846,2181:AL:SCAN
1/1/2001,1.4881561,2182:AL:SCAN
1/1/2001,1.7521805,2176:AL:SCAN
1/1/2001,0.112877645,2056:AL:SCAN
1/1/2001,0.58964485,2179:AL:SCAN
1/1/2001,2.4564989,2115:AL:SCAN
1/1/2001,2.80524,2175:AL:SCAN
1/1/2001,0.35597074,2053:AL:SCAN
1/8/2001,2.6270766,2057:AL:SCAN
1/8/2001,2.203272,2078:AL:SCAN
1/8/2001,1.358607,2177:AL:SCAN
1/8/2001,1.1717138,2113:AL:SCAN
1/8/2001,2.3642523,2174:AL:SCAN
1/8/2001,1.6700355,2055:AL:SCAN
1/8/2001,2.2517688,2173:AL:SCAN
1/8/2001,0.44695175,2180:AL:SCAN
1/8/2001,1.9924183,2114:AL:SCAN
1/8/2001,1.6153911,2178:AL:SCAN
1/8/2001,0.8982252,2181:AL:SCAN
1/8/2001,0.27184483,2182:AL:SCAN
1/8/2001,1.4715493,2176:AL:SCAN
1/8/2001,1.7706962,2056:AL:SCAN
1/8/2001,1.5249221,2179:AL:SCAN
1/8/2001,2.5912473,2115:AL:SCAN
1/8/2001,1.4108853,2175:AL:SCAN
1/8/2001,3.3278108,2053:AL:SCAN
1/15/2001,0.527519,2057:AL:SCAN
1/15/2001,0.28553328,2078:AL:SCAN
1/15/2001,-1.0635961,2177:AL:SCAN
1/15/2001,-0.37109867,2113:AL:SCAN
1/15/2001,0.73430264,2174:AL:SCAN
1/15/2001,-9999,2055:AL:SCAN
1/15/2001,0.36399946,2173:AL:SCAN
1/15/2001,1.3429352,2180:AL:SCAN
1/15/2001,0.24222127,2114:AL:SCAN
1/15/2001,-0.79498327,2178:AL:SCAN
1/15/2001,0.48409244,2181:AL:SCAN
1/15/2001,-1.3103786,2182:AL:SCAN
1/15/2001,0.34087616,2176:AL:SCAN
1/15/2001,0.36978644,2056:AL:SCAN
1/15/2001,2.736116,2179:AL:SCAN
1/15/2001,-0.27532312,2115:AL:SCAN
