MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20221206,AL,16.08,83.92,36.05,1.64,0,0,2022-12-06,2022-12-12,1
20221129,AL,9.93,90.07,51.63,6.16,0,0,2022-11-29,2022-12-05,1
20221122,AL,4.32,95.68,48.87,4.87,0,0,2022-11-22,2022-11-28,1
20221115,AL,11.52,88.48,41.47,4.67,0,0,2022-11-15,2022-11-21,1
20221108,AL,11.27,88.73,41.55,4.92,0,0,2022-11-08,2022-11-14,1
20221101,AL,26.62,73.38,30.1,3.64,0,0,2022-11-01,2022-11-07,1
20221025,AL,22.35,77.65,31.7,8.22,0,0,2022-10-25,2022-10-31,1
20221018,AL,22.99,77.01,18.41,1.36,0,0,2022-10-18,2022-10-24,1
20221011,AL,2,98,27.16,0.33,0,0,2022-10-11,2022-10-17,1
20221004,AL,35.95,64.05,13.73,0,0,0,2022-10-04,2022-10-10,1
20220927,AL,67.58,32.42,0,0,0,0,2022-09-27,2022-10-03,1
20220920,AL,93.37,6.63,0,0,0,0,2022-09-20,2022-09-26,1
20220913,AL,97.67,2.33,0,0,0,0,2022-09-13,2022-09-19,1
20220906,AL,97.26,2.74,0.5,0,0,0,2022-09-06,2022-09-12,1
20220830,AL,95.28,4.72,0.5,0,0,0,2022-08-30,2022-09-05,1
20220823,AL,94.58,5.42,0.5,0.15,0,0,2022-08-23,2022-08-29,1
20220816,AL,79.33,20.67,3.76,0.18,0,0,2022-08-16,2022-08-22,1
20220809,AL,80.15,19.85,3.73,0.38,0,0,2022-08-09,2022-08-15,1
20220802,AL,75.41,24.59,5.79,0.37,0,0,2022-08-02,2022-08-08,1
20220726,AL,70.28,29.72,7.56,0.37,0,0,2022-07-26,2022-08-01,1
20220719,AL,70.03,29.97,6,0.06,0,0,2022-07-19,2022-07-25,1
20220712,AL,60.49,39.51,8.87,0.06,0,0,2022-07-12,2022-07-18,1
20220705,AL,65.27,34.73,6.25,0.06,0,0,2022-07-05,2022-07-11,1
20220628,AL,51.52,48.48,1.86,0,0,0,2022-06-28,2022-07-04,1
20220621,AL,81.55,18.45,0.08,0,0,0,2022-06-21,2022-06-27,1
20220614,AL,99.18,0.82,0,0,0,0,2022-06-14,2022-06-20,1
20220607,AL,97.13,2.87,0,0,0,0,2022-06-07,2022-06-13,1
20220531,AL,96.15,3.85,0,0,0,0,2022-05-31,2022-06-06,1
20220524,AL,71.94,28.06,0,0,0,0,2022-05-24,2022-05-30,1
20220517,AL,69.06,30.94,0,0,0,0,2022-05-17,2022-05-23,1
20220510,AL,96.05,3.95,0,0,0,0,2022-05-10,2022-05-16,1
20220503,AL,97.02,2.98,0,0,0,0,2022-05-03,2022-05-09,1
20220426,AL,97.04,2.96,0,0,0,0,2022-04-26,2022-05-02,1
20220419,AL,97.04,2.96,0,0,0,0,2022-04-19,2022-04-25,1
20220412,AL,87.61,12.39,0.68,0,0,0,2022-04-12,2022-04-18,1
20220405,AL,85.94,14.06,0.68,0,0,0,2022-04-05,2022-04-11,1
20220329,AL,83.92,16.08,0.68,0,0,0,2022-03-29,2022-04-04,1
20220322,AL,82.08,17.92,0.84,0,0,0,2022-03-22,2022-03-28,1
20220315,AL,65.74,34.26,7.1,0,0,0,2022-03-15,2022-03-21,1
20220308,AL,65.74,34.26,7.1,0,0,0,2022-03-08,2022-03-14,1
20220301,AL,75.04,24.96,3.28,0,0,0,2022-03-01,2022-03-07,1
20220222,AL,75.48,24.52,3.32,0,0,0,2022-02-22,2022-02-28,1
20220215,AL,87.94,12.06,2.25,0,0,0,2022-02-15,2022-02-21,1
20220208,AL,87.94,12.06,2.25,0,0,0,2022-02-08,2022-02-14,1
20220201,AL,82.74,17.26,4.85,0,0,0,2022-02-01,2022-02-07,1
20220125,AL,82.74,17.26,4.85,0,0,0,2022-01-25,2022-01-31,1
20220118,AL,82.74,17.26,4.85,0,0,0,2022-01-18,2022-01-24,1
20220111,AL,81.48,18.52,4.85,0,0,0,2022-01-11,2022-01-17,1
20220104,AL,76.82,23.18,3.44,0,0,0,2022-01-04,2022-01-10,1
20211228,AL,54.93,45.07,2.94,0,0,0,2021-12-28,2022-01-03,1
20211221,AL,67.3,32.7,2.94,0,0,0,2021-12-21,2021-12-27,1
