,station,depths,n,assumed_climatology_theta_r,assumed_climatology_theta_s,soiltype,physical_theta_r,physical_theta_s,theta_r_difference,theta_s_difference
79,2115:AL:SCAN,SMS-40.0in_x,5094,0.009,0.436,CL,0.095,0.41,-0.086,0.026
81,2175:AL:SCAN,SMS-4.0in_x,3422,0.001,0.381,L,0.078,0.43,-0.077,-0.049
80,2175:AL:SCAN,SMS-2.0in_x,3422,0.001,0.4,L,0.078,0.43,-0.077,-0.03
85,2053:AL:SCAN,SMS-2.0in_x,6483,0.014,0.414,SICL,0.089,0.43,-0.075,-0.016
30,2173:AL:SCAN,SMS-2.0in_x,3621,0.001,0.494,SIL,0.067,0.45,-0.066,0.044
15,2113:AL:SCAN,SMS-2.0in_x,5364,0.001,0.404,FSL,0.065,0.41,-0.064,-0.006
45,2178:AL:SCAN,SMS-2.0in_x,3434,0.001,0.5,FSL,0.065,0.41,-0.064,0.09
35,2180:AL:SCAN,SMS-2.0in_x,2986,0.002,0.296,SL,0.065,0.41,-0.063,-0.114
77,2115:AL:SCAN,SMS-8.0in_x,5094,0.002,0.329,SL,0.065,0.41,-0.063,-0.081
70,2179:AL:SCAN,SMS-2.0in_x,3565,0.004,0.436,FSL,0.065,0.41,-0.061,0.026
36,2180:AL:SCAN,SMS-4.0in_x,2986,0.005,0.307,SL,0.065,0.41,-0.06,-0.103
29,2055:AL:SCAN,SMS-40.0in_x,5772,0.029,0.555,SICL,0.089,0.43,-0.06,0.125
71,2179:AL:SCAN,SMS-4.0in_x,3565,0.006,0.377,FSL,0.065,0.41,-0.059,-0.033
76,2115:AL:SCAN,SMS-4.0in_x,5094,0.001,0.383,LS,0.057,0.41,-0.056,-0.027
57,2182:AL:SCAN,SMS-8.0in_x,3023,0.002,0.353,LS,0.057,0.41,-0.055,-0.057
75,2115:AL:SCAN,SMS-2.0in_x,5094,0.002,0.357,LS,0.057,0.41,-0.055,-0.053
56,2182:AL:SCAN,SMS-4.0in_x,3023,0.003,0.307,LS,0.057,0.41,-0.054,-0.103
