,station,correlation,soil type,depth,resample type
0,2057:AL:SCAN,0.17081180571152393,D,2.0in,1w
1,2078:AL:SCAN,0.2245361707343358,D,2.0in,1w
2,2177:AL:SCAN,0.1425053301274833,D,2.0in,1w
3,2174:AL:SCAN,0.29405862577578806,D,2.0in,1w
4,2053:AL:SCAN,0.05561251965687174,D,2.0in,1w
5,2113:AL:SCAN,0.08130106339133661,A,2.0in,1w
6,2180:AL:SCAN,0.23198376407500576,A,2.0in,1w
7,2178:AL:SCAN,0.045980830750332304,A,2.0in,1w
8,2181:AL:SCAN,0.2107972510977307,A,2.0in,1w
9,2182:AL:SCAN,-0.11995984123067345,A,2.0in,1w
10,2176:AL:SCAN,0.01891484133393517,A,2.0in,1w
11,2179:AL:SCAN,-0.13248556098983127,A,2.0in,1w
12,2115:AL:SCAN,0.2092652633444813,A,2.0in,1w
13,2055:AL:SCAN,0.05908308373074877,B,2.0in,1w
14,2173:AL:SCAN,0.23647189714357844,B,2.0in,1w
15,2114:AL:SCAN,0.32802699292404297,B,2.0in,1w
16,2056:AL:SCAN,0.054893645210232545,B,2.0in,1w
17,2175:AL:SCAN,0.18076650314842305,B,2.0in,1w
18,2057:AL:SCAN,0.279073373550992,D,4.0in,1w
19,2177:AL:SCAN,0.2058669621760603,D,4.0in,1w
20,2174:AL:SCAN,0.16539308044111597,D,4.0in,1w
21,2114:AL:SCAN,0.2774129476221847,D,4.0in,1w
22,2078:AL:SCAN,0.17942078507744808,B,4.0in,1w
23,2055:AL:SCAN,0.07493677372686981,B,4.0in,1w
24,2173:AL:SCAN,0.3622272309217635,B,4.0in,1w
25,2056:AL:SCAN,0.017199117700208738,B,4.0in,1w
26,2175:AL:SCAN,0.1946015790083733,B,4.0in,1w
27,2053:AL:SCAN,0.07862234980414393,B,4.0in,1w
28,2113:AL:SCAN,0.06161833907699893,A,4.0in,1w
29,2180:AL:SCAN,0.10686597374377374,A,4.0in,1w
30,2178:AL:SCAN,0.3147567579463664,A,4.0in,1w
31,2181:AL:SCAN,0.15607798875070475,A,4.0in,1w
32,2182:AL:SCAN,-0.22830102839962474,A,4.0in,1w
33,2176:AL:SCAN,0.09516347162568663,A,4.0in,1w
34,2179:AL:SCAN,0.07871846692202177,A,4.0in,1w
35,2115:AL:SCAN,0.11890808851110041,A,4.0in,1w
36,2057:AL:SCAN,0.26978829624690503,D,8.0in,1w
37,2078:AL:SCAN,0.1002286608595973,D,8.0in,1w
38,2177:AL:SCAN,0.14829736936294563,D,8.0in,1w
39,2174:AL:SCAN,0.16866634641661626,D,8.0in,1w
40,2173:AL:SCAN,0.2897167867264191,D,8.0in,1w
41,2114:AL:SCAN,0.30592064650322043,D,8.0in,1w
42,2056:AL:SCAN,-0.09429404130201946,D,8.0in,1w
43,2113:AL:SCAN,0.08133012008438001,A,8.0in,1w
44,2180:AL:SCAN,0.07332424904493327,A,8.0in,1w
45,2178:AL:SCAN,0.12976263688069295,A,8.0in,1w
46,2181:AL:SCAN,0.2342515964947418,A,8.0in,1w
47,2182:AL:SCAN,-0.14858794484028148,A,8.0in,1w
48,2176:AL:SCAN,0.12130426040067621,A,8.0in,1w
49,2179:AL:SCAN,0.05332814848485035,A,8.0in,1w
50,2115:AL:SCAN,0.06831502116406521,A,8.0in,1w
51,2055:AL:SCAN,0.14189630003756323,B,8.0in,1w
52,2175:AL:SCAN,0.17412960814201076,B,8.0in,1w
53,2053:AL:SCAN,-0.013297939844956981,B,8.0in,1w
54,2057:AL:SCAN,0.25816635640470326,D,20.0in,1w
55,2078:AL:SCAN,0.28492110910950047,D,20.0in,1w
56,2177:AL:SCAN,0.09183295793936753,D,20.0in,1w
57,2174:AL:SCAN,0.008709533502549919,D,20.0in,1w
58,2055:AL:SCAN,0.12270828783521544,D,20.0in,1w
59,2173:AL:SCAN,0.37581635735703106,D,20.0in,1w
60,2114:AL:SCAN,0.3137822747273165,D,20.0in,1w
61,2056:AL:SCAN,0.004366888894729498,D,20.0in,1w
62,2053:AL:SCAN,-0.048646069330837025,D,20.0in,1w
63,2113:AL:SCAN,-0.012306010237234887,B,20.0in,1w
64,2175:AL:SCAN,-0.09168665618406423,B,20.0in,1w
65,2180:AL:SCAN,0.06482357559791423,A,20.0in,1w
66,2178:AL:SCAN,0.1343070089885779,A,20.0in,1w
67,2181:AL:SCAN,0.25561454364917335,A,20.0in,1w
68,2182:AL:SCAN,-0.2023106964065876,A,20.0in,1w
69,2176:AL:SCAN,0.07779778181965628,A,20.0in,1w
70,2179:AL:SCAN,0.05745594490840272,A,20.0in,1w
71,2115:AL:SCAN,0.06962607352373751,C,20.0in,1w
72,2057:AL:SCAN,0.10665592673719393,D,40.0in,1w
73,2078:AL:SCAN,-0.0875123873214518,D,40.0in,1w
74,2177:AL:SCAN,0.046566470285942095,D,40.0in,1w
75,2174:AL:SCAN,-0.1489149350193963,D,40.0in,1w
76,2055:AL:SCAN,-0.22838832683795932,D,40.0in,1w
77,2173:AL:SCAN,0.054332359671863804,D,40.0in,1w
78,2114:AL:SCAN,0.30460374559643844,D,40.0in,1w
79,2056:AL:SCAN,0.07257405779960602,D,40.0in,1w
80,2115:AL:SCAN,0.10503141251475025,D,40.0in,1w
81,2175:AL:SCAN,-0.06223927850437566,D,40.0in,1w
82,2053:AL:SCAN,-0.10397954829638464,D,40.0in,1w
83,2113:AL:SCAN,-0.00048717397870515433,B,40.0in,1w
84,2178:AL:SCAN,0.11753127895256786,B,40.0in,1w
85,2180:AL:SCAN,0.14043310218111027,C,40.0in,1w
86,2181:AL:SCAN,0.18216762648782694,C,40.0in,1w
87,2182:AL:SCAN,-0.22263283668253353,A,40.0in,1w
88,2176:AL:SCAN,-0.04651730164226728,A,40.0in,1w
0,2057:AL:SCAN,0.15148868118016015,D,2.0in,2w
1,2078:AL:SCAN,0.23961031490784185,D,2.0in,2w
2,2177:AL:SCAN,0.09954468429173029,D,2.0in,2w
3,2174:AL:SCAN,0.2577987238401639,D,2.0in,2w
