depth,2057:AL:SCAN,2078:AL:SCAN,2177:AL:SCAN,2113:AL:SCAN,2174:AL:SCAN,2055:AL:SCAN,2173:AL:SCAN,2180:AL:SCAN,2114:AL:SCAN,2178:AL:SCAN,2181:AL:SCAN,2182:AL:SCAN,2176:AL:SCAN,2056:AL:SCAN,2179:AL:SCAN,2115:AL:SCAN,2175:AL:SCAN,2053:AL:SCAN
SMS-2.0in,SICL,SICL,SIC,FSL,SIC,GRSIL,SIL,SL,SIL,FSL,FSL,LS,FS,L,FSL,LS,L,SICL
SMS-4.0in,SICL,SIL,SIC,FSL,SIC,GRSIL,SIL,SL,SIC,FSL,FSL,LS,FS,L,FSL,LS,L,SIL
SMS-8.0in,SICL,SICL,SIC,FSL,C,GRSIL,SICL,SL,C,FSL,FSL,LS,FS,CL,FSL,SL,L,SIL
SMS-20.0in,SICL,SICL,SIC,L,C,SICL,SICL,SL,C,FSL,SL,FS,S,C,FSL,SCL,L,SICL
SMS-40.0in,SICL,CL,SIC,L,C,SICL,C,SCL,C,L,SCL,SL,S,C,BRCK,CL,C,CL
HSMS-2.0in,D,D,D,A,D,B,B,A,B,A,A,A,A,B,A,A,B,D
HSMS-4.0in,D,B,D,A,D,B,B,A,D,A,A,A,A,B,A,A,B,B
HSMS-8.0in,D,D,D,A,D,B,D,A,D,A,A,A,A,D,A,A,B,B
HSMS-20.0in,D,D,D,B,D,D,D,A,D,A,A,A,A,D,A,C,B,D
HSMS-40.0in,D,D,D,B,D,D,D,C,D,B,C,A,A,D,,D,D,D
