Date,ESI,station,week_x,week_y,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM
2002-04-30,-0.527,2057:AL:SCAN,18,18,-1.8395157204000239,-2.608768804806756,-2.434961556623188,-2.0845847457543574,-1.598312772501475
2002-05-21,1.565,2057:AL:SCAN,21,21,-0.3495083529841199,-1.3567226053230907,-1.7021161296727938,-1.6928486081617629,-0.6638072009429341
2002-05-28,1.484,2057:AL:SCAN,22,22,-0.23477829974321093,-0.9720010576844049,-1.5460485074869463,-1.4416184811503825,-0.8901919149560886
2002-06-11,0.419,2057:AL:SCAN,24,24,-1.524178011116958,-1.6809477322573725,-1.660610508366945,-1.6080806914308126,-0.8728150949560204
2002-06-18,1.374,2057:AL:SCAN,25,25,-0.737960921472575,-1.4842389130391718,-2.253738413854335,-2.1016275830392015,-0.9012922542332101
2002-06-25,1.852,2057:AL:SCAN,26,26,-1.4279011490467501,-1.7714884756429583,-2.082060882728139,-2.3723307522186716,-1.245404211441206
2002-07-02,0.668,2057:AL:SCAN,27,27,-1.057190662449037,-1.4625142258048278,-2.006030514674062,-2.3720128726736314,-1.3460089955764367
2002-07-09,0.691,2057:AL:SCAN,28,28,-1.5589561766322504,-2.0867540038491823,-2.1578858702706114,-2.5041128692757897,-1.557464677111505
2002-07-23,0.888,2057:AL:SCAN,30,30,-1.328247819860887,-1.5536123578371184,-1.8990163493846663,-2.600776100614469,-1.5542558016402945
2002-07-30,1.297,2057:AL:SCAN,31,31,-1.6578010682968842,-1.8697422359693943,-2.2040809092715725,-2.806682657238036,-1.6871484007113622
2002-08-06,0.913,2057:AL:SCAN,32,32,-1.7040854809919745,-1.8661344962319169,-2.530473381270587,-2.8392149849326533,-1.5806203528657097
2002-08-13,1.876,2057:AL:SCAN,33,33,-1.9262984896130821,-2.0094410541724597,-2.515216059903326,-2.8841725720738087,-1.7154730030429817
2002-08-20,1.27,2057:AL:SCAN,34,34,-0.8777271051035769,-1.4147258657864328,-1.999684828321131,-2.4585754384140883,-1.793958626977195
2002-09-03,-0.221,2057:AL:SCAN,36,36,-1.924587789068274,-2.375260407920904,-2.7086190696141563,-2.854029296766879,-2.114924212430279
2002-09-10,-1.826,2057:AL:SCAN,37,37,-1.6700804185851081,-2.0466510382708023,-2.5464711130658295,-2.6360265577414808,-1.9444485482507383
2002-09-17,-0.128,2057:AL:SCAN,38,38,-2.329752409288765,-2.292144472840175,-2.685264707684437,-2.6576319430109945,-2.184256830613976
2002-09-24,-0.057,2057:AL:SCAN,39,39,0.6617904119132687,-1.0017253996093385,-2.1600582444990413,-2.75962814640311,-2.2491190103627514
2002-10-08,-3.476,2057:AL:SCAN,41,41,0.4360595781689986,-0.5463164112776534,-1.5534577314869031,-1.6774494821180244,-0.5357363297122691
2002-10-22,0.679,2057:AL:SCAN,43,43,0.5987212282226896,-0.5940010286512853,-1.5082348170990865,-1.5591534317532125,-0.5391890472299918
2002-11-12,2.241,2057:AL:SCAN,46,46,0.6453479171186118,-0.8601373542413935,-1.8760198003887845,-1.6244743065450014,0.009224574671523666
2002-11-19,0.354,2057:AL:SCAN,47,47,0.24943875884310535,-1.3369081138711714,-2.101037722534235,-1.7044159508207521,-0.16864038981982551
2002-11-26,0.663,2057:AL:SCAN,48,48,-0.08892198945007537,-1.9183941343595239,-2.4992607293920983,-2.303401158474801,-0.5475199758395147
