File,aid,Date,0,8,32,48,64,72,128,136,160,176,192,200
FparExtra_QC_2005365_aid0001,aid0001,2005-12-31,,19.0,15.0,,,6.0,,72,17.0,,,9.0
FparExtra_QC_2006001_aid0001,aid0001,2006-01-01,4.0,34.0,,,,2.0,14.0,73,4.0,,,7.0
FparExtra_QC_2006005_aid0001,aid0001,2006-01-05,34.0,,,,,6.0,60.0,8,10.0,,,20.0
FparExtra_QC_2006009_aid0001,aid0001,2006-01-09,38.0,2.0,,,,,86.0,12,,,,
FparExtra_QC_2006013_aid0001,aid0001,2006-01-13,,,34.0,1.0,,5.0,,1,43.0,54.0,,
FparExtra_QC_2006017_aid0001,aid0001,2006-01-17,34.0,,1.0,4.0,1.0,,87.0,9,2.0,,,
FparExtra_QC_2006021_aid0001,aid0001,2006-01-21,40.0,,,,,,89.0,9,,,,
FparExtra_QC_2006025_aid0001,aid0001,2006-01-25,40.0,,,,,,97.0,1,,,,
FparExtra_QC_2006029_aid0001,aid0001,2006-01-29,17.0,1.0,,,22.0,,72.0,11,12.0,,3.0,
